name,year,highest_degree_offered,offers_bachelors_degree,offers_masters_degree,offers_doctors_degree_research_scholarship,offers_doctors_degree_professional_practice,applicants_total,admissions_total,enrolled_total,estimated_enrollment_total,tuition_and_fees_2013_14,total_price_for_in_state_students_living_on_campus_2013_14,total_price_for_out_of_state_students_living_on_campus_2013_14,state_abbreviation,control_of_institution,total_enrollment,full_time_enrollment,part_time_enrollment,undergraduate_enrollment,graduate_enrollment,full_time_undergraduate_enrollment,part_time_undergraduate_enrollment,percent_of_total_enrollment_that_are_women,percent_of_undergraduate_enrollment_that_are_women,percent_of_graduate_enrollment_that_are_women,graduation_rate_bachelor_degree_within_4_years_total,graduation_rate_bachelor_degree_within_5_years_total,graduation_rate_bachelor_degree_within_6_years_total
Coleman University,2013,Master's degree,Yes,Yes,Implied no,Implied no,82.0,82.0,60.0,810.0,20200.0,,,California,Private not-for-profit,833.0,734.0,99.0,532.0,301.0,433.0,99.0,17.0,8.0,34.0,100.0,100.0,100.0
Dominican University of California,2013,Master's degree,Yes,Yes,Implied no,Implied no,2322.0,1800.0,305.0,2158.0,40600.0,58860.0,58860.0,California,Private not-for-profit,2147.0,1603.0,544.0,1603.0,544.0,1298.0,305.0,75.0,74.0,77.0,36.0,51.0,53.0
Fielding Graduate University,2013,Doctor's degree - research/scholarship,Implied no,Yes,Yes,Implied no,,,,1289.0,,,,California,Private not-for-profit,1190.0,963.0,227.0,,1190.0,,,72.0,,72.0,,,
Fresno Pacific University,2013,Master's degree,Yes,Yes,Implied no,Implied no,705.0,553.0,212.0,3440.0,25716.0,36991.0,36991.0,California,Private not-for-profit,3393.0,2423.0,970.0,2586.0,807.0,2137.0,449.0,69.0,68.0,71.0,43.0,53.0,54.0
Golden Gate University-San Francisco,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,,,,3307.0,14400.0,,,California,Private not-for-profit,3227.0,1130.0,2097.0,475.0,2752.0,104.0,371.0,56.0,54.0,57.0,,,
Harvey Mudd College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,3539.0,643.0,217.0,803.0,46509.0,63860.0,63860.0,California,Private not-for-profit,807.0,805.0,2.0,807.0,,805.0,2.0,46.0,46.0,,86.0,89.0,91.0
Holy Names University,2013,Master's degree,Yes,Yes,Implied no,Implied no,561.0,318.0,87.0,1343.0,33020.0,49041.0,49041.0,California,Private not-for-profit,1343.0,827.0,516.0,888.0,455.0,677.0,211.0,72.0,69.0,78.0,25.0,32.0,35.0
Humboldt State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,9978.0,8000.0,1237.0,8293.0,7144.0,22556.0,33716.0,California,Public,8293.0,7631.0,662.0,7767.0,526.0,7256.0,511.0,54.0,53.0,63.0,11.0,29.0,40.0
Humphreys College-Stockton and Modesto Campuses,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,,,,1085.0,11277.0,,,California,Private not-for-profit,990.0,517.0,473.0,757.0,233.0,402.0,355.0,77.0,79.0,73.0,52.0,57.0,71.0
John F Kennedy University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,,,,1090.0,,,,California,Private not-for-profit,1356.0,580.0,776.0,279.0,1077.0,75.0,204.0,75.0,70.0,77.0,,,
American Jewish University,2013,Master's degree,Yes,Yes,Implied no,Implied no,100.0,59.0,23.0,219.0,27900.0,46869.0,46869.0,California,Private not-for-profit,229.0,188.0,41.0,112.0,117.0,108.0,4.0,48.0,50.0,46.0,69.0,81.0,81.0
University of La Verne,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,6989.0,2722.0,623.0,8798.0,35000.0,51997.0,51997.0,California,Private not-for-profit,8796.0,5550.0,3246.0,5216.0,3580.0,3641.0,1575.0,59.0,58.0,61.0,39.0,56.0,59.0
Lincoln University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,,,,474.0,10105.0,,,California,Private not-for-profit,492.0,436.0,56.0,116.0,376.0,64.0,52.0,50.0,65.0,46.0,,76.0,76.0
La Sierra University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,3479.0,1627.0,477.0,2440.0,29103.0,41490.0,41490.0,California,Private not-for-profit,2440.0,2112.0,328.0,2105.0,335.0,1912.0,193.0,58.0,58.0,58.0,30.0,53.0,59.0
The Master's College and Seminary,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,849.0,521.0,209.0,1456.0,28800.0,42147.0,42147.0,California,Private not-for-profit,1499.0,1105.0,394.0,1112.0,387.0,981.0,131.0,37.0,47.0,9.0,48.0,53.0,54.0
Loyola Marymount University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,11472.0,6209.0,1341.0,9661.0,40265.0,57379.0,57379.0,California,Private not-for-profit,9661.0,8710.0,951.0,6205.0,3456.0,5935.0,270.0,58.0,57.0,61.0,67.0,74.0,76.0
Menlo College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,4100.0,1519.0,139.0,746.0,37100.0,53834.0,53834.0,California,Private not-for-profit,745.0,712.0,33.0,745.0,,712.0,33.0,38.0,38.0,,28.0,39.0,41.0
Mills College,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,1827.0,1242.0,217.0,1595.0,41494.0,56812.0,56812.0,California,Private not-for-profit,1595.0,1424.0,171.0,985.0,610.0,922.0,63.0,92.0,100.0,79.0,53.0,61.0,62.0
Monterey Institute of International Studies,2013,Master's degree,Yes,Yes,Implied no,Implied no,,,,756.0,,,,California,Private not-for-profit,731.0,651.0,80.0,22.0,709.0,20.0,2.0,65.0,18.0,66.0,,,
Mount St Mary's College,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,2316.0,1716.0,559.0,3274.0,33852.0,51100.0,51100.0,California,Private not-for-profit,3274.0,2508.0,766.0,2625.0,649.0,2092.0,533.0,91.0,94.0,78.0,52.0,64.0,66.0
National University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,,,,18221.0,12096.0,,,California,Private not-for-profit,18207.0,8877.0,9330.0,10074.0,8133.0,3724.0,6350.0,60.0,57.0,65.0,15.0,31.0,38.0
Notre Dame de Namur University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1922.0,1676.0,172.0,2030.0,31126.0,49038.0,49038.0,California,Private not-for-profit,2030.0,1071.0,959.0,1213.0,817.0,826.0,387.0,70.0,67.0,75.0,36.0,47.0,48.0
Occidental College,2013,Master's degree,Yes,Yes,Implied no,Implied no,6072.0,2574.0,548.0,2128.0,46652.0,63363.0,63363.0,California,Private not-for-profit,2128.0,2113.0,15.0,2128.0,,2113.0,15.0,56.0,56.0,,83.0,86.0,88.0
Hope International University,2013,Master's degree,Yes,Yes,Implied no,Implied no,408.0,191.0,78.0,1365.0,26050.0,39537.0,39537.0,California,Private not-for-profit,1356.0,935.0,421.0,925.0,431.0,678.0,247.0,57.0,55.0,60.0,27.0,38.0,44.0
Pacific Union College,2013,Master's degree,Yes,Yes,Implied no,Implied no,2103.0,1063.0,335.0,1604.0,27480.0,39852.0,39852.0,California,Private not-for-profit,1647.0,1456.0,191.0,1645.0,2.0,1454.0,191.0,56.0,56.0,50.0,24.0,34.0,37.0
University of the Pacific,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,14222.0,10332.0,958.0,6421.0,39810.0,57033.0,57033.0,California,Private not-for-profit,6421.0,5749.0,672.0,3877.0,2544.0,3780.0,97.0,54.0,52.0,57.0,40.0,58.0,63.0
Pepperdine University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,9721.0,3630.0,784.0,7315.0,44902.0,61192.0,61192.0,California,Private not-for-profit,7315.0,5414.0,1901.0,3538.0,3777.0,3172.0,366.0,60.0,59.0,61.0,70.0,79.0,80.0
Pitzer College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,4115.0,597.0,261.0,1081.0,45018.0,61416.0,61416.0,California,Private not-for-profit,1081.0,1044.0,37.0,1081.0,,1044.0,37.0,60.0,60.0,,73.0,82.0,82.0
Point Loma Nazarene University,2013,Master's degree,Yes,Yes,Implied no,Implied no,3138.0,2088.0,647.0,3370.0,30356.0,44593.0,44593.0,California,Private not-for-profit,3359.0,2669.0,690.0,2556.0,803.0,2483.0,73.0,65.0,63.0,72.0,62.0,70.0,72.0
Pomona College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,7153.0,996.0,397.0,1612.0,43580.0,59730.0,59730.0,California,Private not-for-profit,1610.0,1596.0,14.0,1610.0,,1596.0,14.0,52.0,52.0,,93.0,95.0,96.0
University of Redlands,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,4668.0,3137.0,673.0,5147.0,41290.0,58559.0,58559.0,California,Private not-for-profit,5147.0,3907.0,1240.0,3607.0,1540.0,2702.0,905.0,54.0,55.0,53.0,63.0,71.0,73.0
San Diego State University,2013,Doctor's degree - other,Yes,Yes,Implied no,Implied no,51163.0,15970.0,4139.0,31899.0,6766.0,25068.0,36228.0,California,Public,31899.0,26859.0,5040.0,27099.0,4800.0,24037.0,3062.0,56.0,55.0,60.0,33.0,59.0,66.0
University of San Diego,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,14693.0,7178.0,1238.0,8321.0,41392.0,58189.0,58189.0,California,Private not-for-profit,8321.0,7066.0,1255.0,5665.0,2656.0,5486.0,179.0,57.0,55.0,61.0,65.0,74.0,75.0
San Francisco State University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,31462.0,20070.0,3807.0,29905.0,6450.0,23828.0,34988.0,California,Public,29905.0,24422.0,5483.0,26156.0,3749.0,22111.0,4045.0,58.0,57.0,64.0,13.0,35.0,45.0
University of San Francisco,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,14808.0,9076.0,1148.0,10028.0,40294.0,58384.0,58384.0,California,Private not-for-profit,10112.0,9255.0,857.0,6392.0,3720.0,6111.0,281.0,63.0,62.0,65.0,57.0,67.0,69.0
San Jose State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,25155.0,15967.0,3384.0,30768.0,7343.0,23629.0,34789.0,California,Public,31278.0,24196.0,7082.0,25862.0,5416.0,20852.0,5010.0,51.0,49.0,59.0,8.0,33.0,48.0
Santa Clara University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,14339.0,7344.0,1278.0,8770.0,42156.0,59589.0,59589.0,California,Private not-for-profit,8770.0,7225.0,1545.0,5435.0,3335.0,5338.0,97.0,49.0,50.0,47.0,77.0,83.0,84.0
Scripps College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2378.0,849.0,272.0,1009.0,45564.0,61370.0,61370.0,California,Private not-for-profit,1009.0,996.0,13.0,990.0,19.0,979.0,11.0,99.0,100.0,58.0,80.0,84.0,84.0
Simpson University,2013,Master's degree,Yes,Yes,Implied no,Implied no,573.0,318.0,150.0,1253.0,23300.0,35324.0,35324.0,California,Private not-for-profit,1255.0,1088.0,167.0,1024.0,231.0,993.0,31.0,66.0,66.0,64.0,38.0,45.0,47.0
Saint Mary's College of California,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,4864.0,3379.0,622.0,4185.0,39890.0,58365.0,58365.0,California,Private not-for-profit,4257.0,3490.0,767.0,3055.0,1202.0,2823.0,232.0,61.0,59.0,66.0,50.0,58.0,60.0
Sonoma State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,13142.0,10758.0,1749.0,9120.0,7234.0,23295.0,34455.0,California,Public,9120.0,8052.0,1068.0,8391.0,729.0,7679.0,712.0,62.0,61.0,72.0,26.0,48.0,54.0
Vanguard University of Southern California,2013,Master's degree,Yes,Yes,Implied no,Implied no,1495.0,1043.0,392.0,2418.0,29250.0,43076.0,43076.0,California,Private not-for-profit,2415.0,1678.0,737.0,2135.0,280.0,1576.0,559.0,68.0,68.0,73.0,47.0,52.0,52.0
University of Southern California,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,47358.0,9395.0,2922.0,41368.0,46298.0,62180.0,62180.0,California,Private not-for-profit,41368.0,35895.0,5473.0,18445.0,22923.0,17729.0,716.0,52.0,50.0,53.0,78.0,90.0,91.0
Thomas Aquinas College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,178.0,141.0,88.0,366.0,24500.0,35716.0,35716.0,California,Private not-for-profit,366.0,366.0,,366.0,,366.0,,49.0,49.0,,73.0,76.0,80.0
Westmont College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2145.0,1505.0,298.0,1328.0,38510.0,53670.0,53670.0,California,Private not-for-profit,1321.0,1311.0,10.0,1308.0,13.0,1298.0,10.0,62.0,61.0,100.0,72.0,76.0,76.0
Whittier College,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,4381.0,2771.0,446.0,2363.0,40296.0,53700.0,53700.0,California,Private not-for-profit,2339.0,2065.0,274.0,1656.0,683.0,1623.0,33.0,55.0,56.0,54.0,63.0,66.0,67.0
Woodbury University,2013,Master's degree,Yes,Yes,Implied no,Implied no,879.0,490.0,118.0,1598.0,33150.0,48512.0,48512.0,California,Private not-for-profit,1607.0,1393.0,214.0,1357.0,250.0,1175.0,182.0,52.0,51.0,54.0,19.0,35.0,45.0
Adams State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,2658.0,1398.0,519.0,3275.0,7449.0,19691.0,30323.0,Colorado,Public,3211.0,2185.0,1026.0,2284.0,927.0,1873.0,411.0,56.0,50.0,71.0,12.0,21.0,25.0
University of Colorado Denver,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,3075.0,2333.0,991.0,19590.0,7933.0,24555.0,38679.0,Colorado,Public,22206.0,11800.0,10406.0,13010.0,9196.0,7782.0,5228.0,57.0,53.0,61.0,16.0,32.0,41.0
University of Colorado Colorado Springs,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,7034.0,6401.0,1616.0,11018.0,7024.0,20424.0,31837.0,Colorado,Public,11321.0,7450.0,3871.0,9220.0,2101.0,6962.0,2258.0,53.0,53.0,55.0,26.0,42.0,46.0
University of Colorado Boulder,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,22473.0,19710.0,5846.0,31702.0,10347.0,28887.0,50655.0,Colorado,Public,32017.0,26242.0,5775.0,26096.0,5921.0,23948.0,2148.0,45.0,45.0,43.0,44.0,66.0,70.0
Colorado Christian University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1186.0,1158.0,447.0,5380.0,25046.0,38130.0,38130.0,Colorado,Private not-for-profit,5368.0,1583.0,3785.0,4973.0,395.0,1472.0,3501.0,66.0,66.0,66.0,24.0,34.0,36.0
Colorado College,2013,Master's degree,Yes,Yes,Implied no,Implied no,5780.0,1288.0,522.0,2061.0,44222.0,57400.0,57400.0,Colorado,Private not-for-profit,2061.0,2044.0,17.0,2041.0,20.0,2025.0,16.0,55.0,55.0,65.0,79.0,86.0,87.0
Colorado School of Mines,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,11682.0,4373.0,949.0,5660.0,16485.0,30603.0,46533.0,Colorado,Public,5790.0,5188.0,602.0,4291.0,1499.0,4080.0,211.0,29.0,27.0,33.0,41.0,66.0,70.0
Colorado State University-Fort Collins,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,17970.0,13914.0,4443.0,30640.0,9313.0,23203.0,39056.0,Colorado,Public,31186.0,23371.0,7815.0,23548.0,7638.0,20400.0,3148.0,51.0,51.0,51.0,37.0,59.0,64.0
College America-Denver,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,465.0,17211.0,,,Colorado,Private not-for-profit,497.0,497.0,,497.0,,497.0,,78.0,78.0,,32.0,32.0,32.0
University of Denver,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,13735.0,10539.0,1413.0,11843.0,40707.0,56077.0,56077.0,Colorado,Private not-for-profit,11778.0,8411.0,3367.0,5517.0,6261.0,5129.0,388.0,56.0,55.0,58.0,67.0,76.0,78.0
Fort Lewis College,2013,Master's degree,Yes,Yes,Implied no,Implied no,2560.0,2240.0,876.0,4065.0,6923.0,22393.0,33233.0,Colorado,Public,4021.0,3670.0,351.0,3984.0,37.0,3670.0,314.0,49.0,49.0,81.0,17.0,33.0,37.0
Colorado Mesa University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,6459.0,5304.0,2214.0,9541.0,6725.0,19729.0,29752.0,Colorado,Public,9676.0,7284.0,2392.0,9576.0,100.0,7267.0,2309.0,55.0,55.0,62.0,13.0,29.0,33.0
Metropolitan State University of Denver,2013,Master's degree,Yes,Yes,Implied no,Implied no,5867.0,4175.0,1991.0,22775.0,5744.0,,,Colorado,Public,22752.0,13508.0,9244.0,22289.0,463.0,13202.0,9087.0,54.0,54.0,76.0,6.0,17.0,26.0
Naropa University,2013,Master's degree,Yes,Yes,Implied no,Implied no,79.0,63.0,38.0,992.0,28790.0,43620.0,43620.0,Colorado,Private not-for-profit,992.0,799.0,193.0,383.0,609.0,358.0,25.0,67.0,64.0,69.0,20.0,39.0,41.0
University of Northern Colorado,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,7602.0,5289.0,1939.0,12084.0,6968.0,20264.0,31803.0,Colorado,Public,12710.0,9735.0,2975.0,9947.0,2763.0,8733.0,1214.0,65.0,63.0,72.0,27.0,43.0,46.0
Regis University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,3006.0,2100.0,531.0,9620.0,32424.0,46326.0,46326.0,Colorado,Private not-for-profit,9722.0,5251.0,4471.0,5172.0,4550.0,2508.0,2664.0,64.0,63.0,65.0,42.0,56.0,58.0
Colorado State University-Pueblo,2013,Master's degree,Yes,Yes,Implied no,Implied no,3147.0,2969.0,916.0,4669.0,7327.0,20938.0,31260.0,Colorado,Public,7089.0,4051.0,3038.0,5207.0,1882.0,3742.0,1465.0,62.0,56.0,80.0,18.0,28.0,33.0
Western State Colorado University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1514.0,1411.0,473.0,2260.0,7343.0,20045.0,29986.0,Colorado,Public,2404.0,1993.0,411.0,2193.0,211.0,1869.0,324.0,45.0,42.0,71.0,23.0,40.0,42.0
Albertus Magnus College,2013,Master's degree,Yes,Yes,Implied no,Implied no,689.0,470.0,132.0,1582.0,28378.0,47302.0,47302.0,Connecticut,Private not-for-profit,1582.0,1469.0,113.0,1278.0,304.0,1199.0,79.0,67.0,65.0,75.0,,15.0,43.0
University of Bridgeport,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,5248.0,3351.0,542.0,4842.0,29090.0,50043.0,50043.0,Connecticut,Private not-for-profit,4842.0,3159.0,1683.0,2835.0,2007.0,2035.0,800.0,62.0,66.0,57.0,19.0,25.0,27.0
Central Connecticut State University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,5551.0,3560.0,1293.0,11865.0,8706.0,23197.0,34702.0,Connecticut,Public,11865.0,8208.0,3657.0,9771.0,2094.0,7624.0,2147.0,51.0,48.0,66.0,20.0,45.0,52.0
Charter Oak State College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,1397.0,,,,Connecticut,Public,1580.0,301.0,1279.0,1580.0,,301.0,1279.0,66.0,66.0,,,,
Connecticut College,2013,Master's degree,Yes,Yes,Implied no,Implied no,4837.0,1734.0,503.0,1922.0,46085.0,60780.0,60780.0,Connecticut,Private not-for-profit,1922.0,1881.0,41.0,1915.0,7.0,1877.0,38.0,61.0,61.0,43.0,79.0,83.0,84.0
University of Connecticut,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,27479.0,14745.0,3755.0,25369.0,12022.0,27244.0,46192.0,Connecticut,Public,25911.0,22482.0,3429.0,18032.0,7879.0,17219.0,813.0,50.0,49.0,52.0,68.0,81.0,83.0
Eastern Connecticut State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,5112.0,3299.0,985.0,5368.0,9376.0,24394.0,35899.0,Connecticut,Public,5368.0,4462.0,906.0,5179.0,189.0,4395.0,784.0,54.0,54.0,75.0,32.0,48.0,51.0
Fairfield University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,9254.0,6585.0,990.0,4919.0,42920.0,58730.0,58730.0,Connecticut,Private not-for-profit,4919.0,3930.0,989.0,3873.0,1046.0,3546.0,327.0,61.0,60.0,68.0,79.0,81.0,82.0
Rensselaer Hartford Graduate Center Inc,2013,Master's degree,Implied no,Yes,Implied no,Implied no,,,,300.0,,,,Connecticut,Private not-for-profit,281.0,11.0,270.0,,281.0,,,20.0,,20.0,,,
University of Hartford,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,15127.0,9338.0,1267.0,6820.0,33358.0,48170.0,48170.0,Connecticut,Private not-for-profit,6820.0,5213.0,1607.0,5187.0,1633.0,4495.0,692.0,53.0,50.0,61.0,51.0,59.0,61.0
Mitchell College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1162.0,670.0,178.0,866.0,29458.0,46750.0,46750.0,Connecticut,Private not-for-profit,866.0,747.0,119.0,866.0,,747.0,119.0,46.0,46.0,,31.0,38.0,39.0
University of New Haven,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,10169.0,7567.0,1174.0,6555.0,33740.0,50210.0,50210.0,Connecticut,Private not-for-profit,6555.0,5342.0,1213.0,4864.0,1691.0,4407.0,457.0,50.0,49.0,50.0,44.0,53.0,55.0
Quinnipiac University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,20699.0,13914.0,1803.0,8829.0,39330.0,55780.0,55780.0,Connecticut,Private not-for-profit,8803.0,7602.0,1201.0,6542.0,2261.0,6307.0,235.0,63.0,62.0,66.0,72.0,76.0,76.0
Sacred Heart University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,7781.0,5932.0,865.0,6890.0,35050.0,53569.0,53569.0,Connecticut,Private not-for-profit,6983.0,4542.0,2441.0,4489.0,2494.0,3773.0,716.0,68.0,64.0,74.0,63.0,69.0,70.0
University of Saint Joseph,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,860.0,737.0,153.0,2640.0,33417.0,49923.0,49923.0,Connecticut,Private not-for-profit,2640.0,1220.0,1420.0,1049.0,1591.0,794.0,255.0,90.0,98.0,84.0,37.0,50.0,52.0
Southern Connecticut State University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,4870.0,3673.0,1380.0,10804.0,9020.0,22945.0,34411.0,Connecticut,Public,10804.0,7892.0,2912.0,8257.0,2547.0,7016.0,1241.0,64.0,61.0,75.0,18.0,42.0,49.0
Trinity College,2013,Master's degree,Yes,Yes,Implied no,Implied no,7652.0,2432.0,604.0,2387.0,47510.0,62310.0,62310.0,Connecticut,Private not-for-profit,2390.0,2188.0,202.0,2301.0,89.0,2184.0,117.0,49.0,49.0,54.0,81.0,85.0,86.0
Wesleyan University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,10046.0,2102.0,752.0,3205.0,47244.0,62849.0,62849.0,Connecticut,Private not-for-profit,3205.0,3091.0,114.0,2906.0,299.0,2899.0,7.0,52.0,52.0,54.0,86.0,91.0,92.0
Western Connecticut State University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,3613.0,2366.0,797.0,6025.0,8893.0,23426.0,34931.0,Connecticut,Public,6025.0,4465.0,1560.0,5492.0,533.0,4394.0,1098.0,54.0,53.0,65.0,21.0,40.0,45.0
Yale University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,28977.0,2043.0,1356.0,11960.0,44000.0,61620.0,61620.0,Connecticut,Private not-for-profit,12109.0,11927.0,182.0,5430.0,6679.0,5424.0,6.0,49.0,49.0,49.0,90.0,96.0,98.0
Delaware State University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,8884.0,3703.0,1036.0,4338.0,7336.0,21581.0,29937.0,Delaware,Public,4336.0,3926.0,410.0,3892.0,444.0,3579.0,313.0,63.0,62.0,65.0,18.0,33.0,37.0
University of Delaware,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,25458.0,16467.0,4224.0,22166.0,12112.0,25612.0,43432.0,Delaware,Public,22166.0,19685.0,2481.0,18487.0,3679.0,16852.0,1635.0,56.0,57.0,50.0,68.0,79.0,82.0
Wesley College,2013,Master's degree,Yes,Yes,Implied no,Implied no,2933.0,1833.0,556.0,1679.0,23590.0,38230.0,38230.0,Delaware,Private not-for-profit,1655.0,1463.0,192.0,1600.0,55.0,1416.0,184.0,53.0,52.0,71.0,11.0,20.0,22.0
